,108.956
790,109.113
791,109.048
792,109.05
793,109.145
794,109.129
795,109.01
796,109.07
797,109.113
798,109.116
799,108.915
800,109.095
801,109.109
802,109.105
803,109.14
804,109.157
805,109.084
806,109.185
807,109.051
808,109.075
809,109.185
810,109.089
811,109.137
812,109.079
813,109.119
814,109.169
815,109.051
816,109.099
817,109.13
818,109.065
820,109.148
821,109.066
822,109.114
823,109.097
824,109.154
825,109.11
826,109.11
827,109.116
828,109.153
829,109.045
830,109.088
831,109.064
832,109.17
833,109.115
834,109.123
835,109.199
836,108.981
837,109.193
838,109.21
839,109.036
840,109.079
841,109.186
842,109.107
843,109.133
844,109.092
845,109.082
846,109.252
847,109.156
848,109.061
849,109.153
850,109.018
851,109.132
852,109.075
853,109.062
854,109.02
855,109.208
856,109.149
857,109.036
858,109.066
859,109.104
860,109.095
861,109.098
862,109.092
863,109.04
864,109.145
865,109.12
866,109.082
867,109.093
868,109.181
869,109.066
870,109.097
871,109.085
872,109.202
873,109.158
874,109.107
875,109.065
876,109.112
877,109.021
878,109.047
879,109.064
880,109.083
881,109.165
882,109.179
883,108.946
884,109.139
885,109.149
886,109.142
887,109.119
888,109.07
889,109.208
890,109.107
891,109.051
892,109.082
893,109.086
894,109.024
895,109.165
896,109.092
897,109.151
898,109.116
900,109.114
901,109.071
902,109.148
903,109.106
904,109.201
905,109.025
906,109.114
907,109.128
908,109.1
909,109.115
910,109.137
912,108.927
913,109.194
914,109.101
915,109.156
916,108.387
917,109.217
918,109.0
919,109.17
920,109.173
921,106.113
922,109.129
923,109.186
924,109.095
925,109.168
926,109.157
927,109.187
928,105.725
929,107.771
930,109.145
931,109.159
932,109.172
933,109.169
934,109.163
935,109.146
936,109.162
937,109.255
938,109.171
939,109.098
940,109.084
941,109.189
942,109.202
943,109.212
944,109.148
945,109.136
946,109.173
947,109.066
948,109.19
949,109.192
950,109.143
951,109.087
952,103.462
953,109.136
954,109.181
955,109.229
956,109.201
957,109.176
958,109.142
959,109.206
960,109.051
961,109.062
962,109.25
963,109.278
964,109.251
965,109.227
967,107.738
968,109.283
969,109.186
970,109.111
971,109.254
972,109.148
973,109.251
974,109.193
975,109.244
976,109.242
977,109.091
978,109.194
979,109.189
980,109.218
981,109.287
982,109.138
983,109.162
984,109.129
985,109.178
986,109.278
987,109.158
988,109.196
989,109.112
990,109.2
991,109.112
992,109.204
993,109.182
994,109.197
995,109.204
996,109.231
997,109.054
998,109.107
999,109.218
1000,109.147
1001,109.194
1002,109.273
1003,109.118
1004,109.015
1005,101.768
1006,109.216
1007,109.204
1008,109.176
1010,109.149
1011,109.149
1012,109.208
1013,109.21
1014,109.228
1015,109.26
1016,106.387
1017,109.208
1018,109.136
1019,109.178
1020,109.033
1021,109.189
1022,109.217
1023,109.218
1024,109.203
1025,109.261
1026,109.148
1027,109.193
1028,109.218
1029,109.087
1030,109.064
1031,103.848
1032,109.286
1033,109.241
1034,109.234
1035,109.195
1036,109.226
1037,109.226
1038,109.212
1039,109.115
1040,109.177
1042,109.106
1043,109.137
1044,109.156
1045,109.151
1046,109.206
1047,109.239
1048,109.161
1049,109.285
1050,109.297
1051,109.198
1052,109.155
1053,109.235
1054,109.157
1055,109.25
1056,109.223
1057,109.278
1058,109.058
1059,109.247
1060,109.106
1061,109.206
1062,109.25
1063,109.286
1064,109.18
1065,109.191
1066,109.219
1067,109.118
1068,109.128
1069,109.197
1070,109.262
1071,109.192
1072,109.151
1073,107.957
1074,109.114
1075,109.2
1076,109.22
1077,109.182
1078,109.223
1079,109.171
1080,109.152
1081,109.12
1082,109.192
1083,109.19
1084,109.157
1085,109.166
1086,109.216
1087,109.173
1088,108.696
1089,109.107
1090,109.161
1091,109.234
1092,109.169
1093,109.225
1094,109.267
1095,109.186
1096,109.225
1097,109.174
1098,109.178
1099,109.104
1100,109.231
1101,109.252
1102,109.116
1103,109.212
1104,109.163
1105,109.113
1106,109.249
1107,109.237
1108,109.218
1109,109.21
1110,109.218
1111,109.262
1112,109.178
1113,109.194
1114,109.097
1115,109.075
1116,109.315
1117,109.271
1118,109.249
1119,109.236
1120,109.217
1121,109.258
1122,109.165
1123,109.234
1124,109.251
1125,109.244
1126,109.239
1127,109.214
1128,109.176
1129,109.232
1130,109.197
1131,109.2
1132,109.255
1133,109.176
1134,109.152
1135,109.24
1136,109.178
1137,109.071
1138,109.204
1139,109.211
1140,109.272
1141,109.219
1142,109.3
1143,109.192
1144,109.194
1145,109.239
1146,109.23
1147,109.253
1148,109.157
1149,109.196
1150,109.141
1151,109.139
1152,109.182
1153,109.155
1154,109.133
1155,109.154
1156,109.257
1157,109.202
1158,109.233
1159,109.206
1160,109.285
1161,109.249
1162,109.213
1163,109.221
1164,109.194
1165,109.22
1166,109.253
1167,109.23
1168,109.226
1169,109.199
1170,109.244
1171,109.258
1172,109.215
1173,109.211
1174,109.083
1175,109.128
1176,109.244
1177,109.139
